"LIBRARYREFERENCE","FOOTPRINT1","ARROW PART NUMBER","ARROW PRICE/STOCK","CASE/PACKAGE","COMMENT","CURRENT RATING","DATASHEET LINK","DC RESISTANCE (DCR)","FORWARD VOLTAGE","HEIGHT","INDUCTANCE","MANUFACTURER","MANUFACTURER 1","MANUFACTURER PART NUMBER","MANUFACTURER PART NUMBER 1","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUNTING TYPE","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NUMBER OF POSITIONS","NUMBER OF ROWS","PACKAGE/FOOTPRINT","POSITIONS","RESISTANCE","REVERSE VOLTAGE","ROWS","SATURATION CURRENT","SUPPLIER 1","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","TEMPERATURE COEFFICIENT","THROW CONFIGURATION","TOLERANCE","VALUE","VOLTAGE BREAKDOWN","VOLTAGE RATING","VOLTAGE RATING (DC)","SHEETPART","DESIGNATOR","DESCRIPTION"
".CAP_0402","CAP0402","","","0402","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 0402 CAP"
".CAP_0603","CAP0603","","","0603","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 0603 CAP"
".CAP_0805","CAP0805","","","0805","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 0805 CAP"
".CAP_1206","CAP1206","","","1206","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 1206 CAP"
".DIODE","","","","","GENERIC DIODE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC DIODE"
".IND","","","","","Inductor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","L?","GENERIC INDUCTOR"
".LED_BLUE","LED_0603","","","","GENERIC LED - BLUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - BLUE"
".LED_GREEN","LED_0603","","","","GENERIC LED - GREEN","","","","","","","","","150060VS75000","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - GREEN"
".LED_ORANGE","LED_0603","","","","GENERIC LED - ORANGE","","","","","","","","","150060AS75000","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - ORANGE"
".LED_RED","LED_0603","","","","GENERIC LED -RED","","","","","","","","","150060RS75000","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - RED"
".RES_0402","RES0402","","","*","RES_0402","","","","","","","*","","*","","","","","","","","","","","*","","","","","","","","","*","","","","","","R?","GENERIC 0402 RES"
".RES_0603","RES0603","","","","RES_0603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?","GENERIC 0603 RES"
".RES_0805","","","","","RES_0805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?","GENERIC 0805 RES"
".RES_1206","","","","","RES_1206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?","GENERIC 1206 RES"
".RES_RC0402FR-07100KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07100KL","","","","","","","","","","","100K","","","","","","","","","1%","","","","","","R?","RES 100K OHM 1% 1/16W 0402"
".RES_RC0402FR-0710KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0710KL","","","","","","","","","","","10K","","","","","","","","","1%","","","","","","R?","RES 10K OHM 1% 1/16W 0402"
".RES_RC0402FR-07130RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07130RL","","","","","","","","","","","130R","","","","","","","","","1%","","","","","","R?","RES 130 OHM 1% 1/10W 0402"
".RES_RC0402FR-07147KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07147KL","","","","","","","","","","","147K","","","","","","","","","1%","","","","","","R?","RES 147K OHM 1% 1/16W 0402"
".RES_RC0402FR-071K5L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-071K5L","","","","","","","","","","","1.5K","","","","","","","","","1%","","","","","","R?","RES 1.5K OHM 1% 1/16W 0402"
".RES_RC0402FR-071ML","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-071ML","","","","","","","","","","","1M","","","","","","","","","1%","","","","","","R?","RES 1M OHM 1% 1/16W 0402"
".RES_RC0402FR-07200KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07200KL","","","","","","","","","","","200K","","","","","","","","","1%","","","","","","R?","RES 200K OHM 1% 1/16W 0402"
".RES_RC0402FR-0720KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0720KL","","","","","","","","","","","20K","","","","","","","","","1%","","","","","","R?","RES 20K OHM 1% 1/16W 0402"
".RES_RC0402FR-072K49L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-072K49L","","","","","","","","","","","2.49K","","","","","","","","","1%","","","","","","R?","RES 2.49K OHM 1% 1/16W 0402"
".RES_RC0402FR-07300RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07300RL","","","","","","","","","","","300R","","","","","","","","","1%","","","","","","R?","RES 300 OHM 1% 1/16W 0402"
".RES_RC0402FR-0733RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0733RL","","","","","","","","","","","33R","","","","","","","","","1%","","","","","","R?","RES 33 OHM 1% 1/16W 0402"
".RES_RC0402FR-0745K3L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0745K3L","","","","","","","","","","","45.3K","","","","","","","","","1%","","","","","","R?","RES 45.3K OHM 1% 1/16W 0402"
".RES_RC0402FR-07470RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07470RL","","","","","","","","","","","470R","","","","","","","","","1%","","","","","","R?","RES 470 OHM 1% 1/16W 0402"
".RES_RC0402FR-0749R9L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0749R9L","","","","","","","","","","","49.9R","","","","","","","","","1%","","","","","","R?","RES 49.9 OHM 1% 1/16W 0402"
".RES_RC0402FR-074K7L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-074K7L","","","","","","","","","","","4.7K","","","","","","","","","1%","","","","","","R?","RES 4.7K OHM 1% 1/16W 0402"
".RES_RC0402JR-070RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402JR-070RL","","","","","","","","","","","0R","","","","","","","","","1%","","","","","","R?","RES 0 OHM JUMPER 1/16W 0402"
"0455580003","0455580003","0455580003","https://www.arrow.com/en/products/0455580003/molex?region=nac","","0455580003","","http://www.molex.com/pdm_docs/sd/455580003_sd.pdf","","","10mm","","","","","","Molex","0455580003","","N/A","https://www.mouser.co.uk/ProductDetail/Molex/0455580003?qs=PBcRNPEHKsr%252BGoTfgbyscA%3D%3D","","","","","","","","","","","","","","","","","","","*","J?","Connector Header Through Hole, Right Angle 6 position 0.165" (4.20mm)"
"0472720001","0472720001","0472720001","https://www.arrow.com/en/products/0472720001/molex?region=europe","","0472720001","","http://www.molex.com/pdm_docs/sd/472720001_sd.pdf","","","6.9mm","","","","","","Molex","0472720001","","N/A","https://www.mouser.co.uk/ProductDetail/Molex/0472720001?qs=PBcRNPEHKsrarbeLf7n8sg%3D%3D","","","","","","","","","","","","","","","","","","","*","J?","CONN RCPT DISPLAYPORT 20P SMD RA"
